model_name,name_dataset,total_samples,n_U_cols_used,cluster_size_0,cluster_size_1,Statistical_Parity_Diff_wrt_U,Disparate_Impact_Ratio_wrt_U,Equal_Opportunity_Diff_wrt_U,Pos_Rate_U_cluster1,Pos_Rate_U_cluster0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed500_BIASED_ALL.csv,9000,4,7427,1573,0.0007,0.9993,0.0006,0.993,0.9937
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed500_FAIR_ALL.csv,9000,4,7486,1514,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed600_BIASED_ALL.csv,9000,4,7490,1510,0.0099,1.0101,0.0052,0.996,0.9861
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed600_FAIR_ALL.csv,9000,4,1454,7546,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed700_BIASED_ALL.csv,9000,4,7492,1508,0.0001,0.9999,0.0012,0.994,0.9941
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed700_FAIR_ALL.csv,9000,4,1395,7605,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed800_BIASED_ALL.csv,9000,4,1605,7395,0.0749,1.0817,0.0705,0.992,0.9171
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed800_FAIR_ALL.csv,9000,4,7475,1525,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed900_BIASED_ALL.csv,9000,4,1538,7462,0.0004,0.9996,0.0003,0.9989,0.9993
SRCVAE,HR_N10000_LowBias_Thresh1.0_Seed900_FAIR_ALL.csv,9000,4,1512,7488,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1000_BIASED_ALL.csv,9000,4,8738,262,0.0003,1.0003,0.0002,1.0,0.9997
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1000_FAIR_ALL.csv,9000,4,8749,251,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed100_BIASED_ALL.csv,9000,4,4643,4357,0.0,1.0,0.0003,0.9995,0.9996
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed100_FAIR_ALL.csv,9000,4,8766,234,0.0035,0.9965,0.0036,0.9957,0.9992
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1100_BIASED_ALL.csv,9000,4,8747,253,0.0061,1.0061,0.003,1.0,0.9939
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1100_FAIR_ALL.csv,9000,4,8760,240,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1200_BIASED_ALL.csv,9000,4,8704,296,0.0035,0.9964,0.002,0.9865,0.99
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1200_FAIR_ALL.csv,9000,4,8719,281,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1300_BIASED_ALL.csv,9000,4,8717,283,0.0103,0.9896,0.0071,0.9823,0.9927
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1300_FAIR_ALL.csv,9000,4,4867,4133,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1400_BIASED_ALL.csv,9000,4,8723,277,0.0002,1.0002,0.0003,1.0,0.9998
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1400_FAIR_ALL.csv,9000,4,8734,266,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1500_BIASED_ALL.csv,9000,4,4447,4553,0.0129,1.0133,0.011,0.9857,0.9728
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1500_FAIR_ALL.csv,9000,4,276,8724,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1600_BIASED_ALL.csv,9000,4,4460,4540,0.003,1.003,0.0001,0.9952,0.9922
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1600_FAIR_ALL.csv,9000,4,8753,247,0.0,1.0,0.0,1.0,1.0
SRCVAE,HR_N10000_LowBias_Thresh2.5_Seed1700_BIASED_ALL.csv,9000,4,313,8687,0.0063,0.9936,0.0013,0.9841,0.9904
